日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,MA5,MA20,MA60,收盤價_MA5,收盤價_MA20,收盤價_MA60
2025-05-19,88869900,30401503765.548706,336.29998779296875,343.0,333.3699951171875,342.0899963378906,0.0,,,,,,,
2025-05-20,131715500,45286424174.713135,347.8699951171875,354.989990234375,341.6300048828125,343.82000732421875,1.730010986328125,,,,,,,
2025-05-21,102354800,34249962676.220703,344.42999267578125,347.3500061035156,332.20001220703125,334.6199951171875,-9.20001220703125,,,,,,,
2025-05-22,97113400,33119554765.826416,331.8999938964844,347.2699890136719,331.3900146484375,341.0400085449219,6.420013427734375,,,,,,,
2025-05-23,84654800,28726759521.984863,337.9200134277344,343.17999267578125,333.2099914550781,339.3399963378906,-1.70001220703125,,100941680.0,,,340.1820007324219,,
2025-05-27,120146400,43599928855.95703,347.3500061035156,363.7900085449219,347.32000732421875,362.8900146484375,23.550018310546875,,107196980.0,,,344.3420043945313,,
2025-05-28,91404300,32622194112.112427,364.8399963378906,365.0,355.9100036621094,356.8999938964844,-5.990020751953125,,99134740.0,,,346.9580017089844,,
2025-05-29,88087800,31573309508.825684,365.2900085449219,367.7099914550781,356.0,358.42999267578125,1.529998779296875,,96281340.0,,,351.7200012207031,,
2025-05-30,123474900,42779112798.916626,355.5199890136719,363.67999267578125,345.2900085449219,346.4599914550781,-11.970001220703125,,101553640.0,,,352.8039978027344,,
2025-06-02,81873800,28057332721.887207,343.5,348.0199890136719,333.3299865722656,342.69000244140625,-3.769989013671875,,100997440.0,,,353.4739990234375,,
2025-06-03,99324500,34194444523.788452,346.6000061035156,355.3999938964844,343.0400085449219,344.2699890136719,1.579986572265625,,96833060.0,,,349.7499938964844,,
2025-06-04,98912100,32843761597.576904,345.1000061035156,345.6000061035156,327.3299865722656,332.04998779296875,-12.220001220703125,,98334620.0,,,344.7799926757813,,
2025-06-05,287499800,81851196569.51904,322.489990234375,324.54998779296875,273.2099914550781,284.70001220703125,-47.3499755859375,,138217020.0,,,330.03399658203125,,
2025-06-06,164747700,48623638591.29639,298.8299865722656,305.5,291.1400146484375,295.1400146484375,10.44000244140625,,146471580.0,,,319.77000122070314,,
2025-06-09,140908900,43481666469.91272,285.9599914550781,309.8299865722656,281.8500061035156,308.5799865722656,13.439971923828125,,158278600.0,,,312.947998046875,,
2025-06-10,151256500,49323231531.08215,314.94000244140625,327.8299865722656,310.6700134277344,326.0899963378906,17.510009765625,,168665000.0,,,309.31199951171874,,
2025-06-11,122611400,40024038403.967285,334.3999938964844,335.5,322.5,326.42999267578125,0.339996337890625,,173404860.0,,,308.18800048828126,,
2025-06-12,105127500,33547234985.046387,323.0799865722656,332.55999755859375,316.8599853515625,319.1099853515625,-7.32000732421875,,136930400.0,,,315.0699951171875,,
2025-06-13,128964300,41953376118.14575,313.9700012207031,332.989990234375,313.29998779296875,325.30999755859375,6.20001220703125,,129773720.0,,,321.10399169921874,,
2025-06-16,83925900,27622531876.794434,331.2900085449219,332.04998779296875,326.4100036621094,329.1300048828125,3.82000732421875,,118377120.0,119648710.0,,325.2139953613281,332.9544982910156,
2025-06-17,88282700,27928232683.83484,326.0899963378906,327.260009765625,314.739990234375,316.3500061035156,-12.779998779296875,,105782360.0,119619350.0,,323.2659973144531,331.66749877929686,
2025-06-18,95137700,30639095123.651123,317.30999755859375,329.32000732421875,315.45001220703125,322.04998779296875,5.699981689453125,,100287620.0,117790460.0,,322.38999633789064,330.57899780273436,
